,Nakit ve Nakit Benzerleri,TOPLAM KISA VADELİ YÜKÜMLÜLÜKLER,TOPLAM DÖNEN VARLIKLAR,Stoklar,Diğer Borçlar,Ticari Borçlar,Ticari Alacaklar,Cari Oran,Asit Test Oranı (Likidite Oranı),Karşılama Oranı
31.03.2023,38905040.0,68225065.0,100817820.0,35411730.0,107476.0,40623174.0,17067008.0,2.2716036565867084,1.5876026428247918,0.406414085916702
31.12.2022,47635158.0,78895410.0,119710705.0,36046008.0,262395.0,52698764.0,21417520.0,2.2716036565867084,1.5876026428247918,0.406414085916702
