Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA 30,SMA 100,Buy_Signal_price,Sell_Signal_price,balance_try,balance_stock,calc_balance_try,balance_try_al_yat,balance_stock_al_yat,calc_balance_try_al_yat,company,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Buy_Signal_price,MACD_Sell_Signal_price,positive
2023-06-19 09:30:00+03:00,681.0,682.2000122070312,671.2999877929688,674.9000244140625,0,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-19 10:30:00+03:00,675.2000122070312,675.4000244140625,661.2000122070312,664.5999755859375,226789,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-19 11:30:00+03:00,664.5999755859375,667.9000244140625,661.2000122070312,666.5999755859375,119100,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-19 12:30:00+03:00,666.7999877929688,667.2000122070312,663.4000244140625,665.2999877929688,60688,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-19 13:30:00+03:00,665.0,667.2000122070312,662.0,662.2999877929688,79379,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-19 14:30:00+03:00,662.2999877929688,671.5,661.7000122070312,663.7000122070312,148415,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-19 15:30:00+03:00,663.9000244140625,665.0999755859375,659.7999877929688,662.0,254299,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-19 16:30:00+03:00,661.7999877929688,665.2999877929688,659.9000244140625,660.0,137443,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-19 17:30:00+03:00,659.9000244140625,660.5,655.2000122070312,659.5,118454,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-20 09:30:00+03:00,657.0,662.0,651.4000244140625,660.0999755859375,0,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-20 10:30:00+03:00,659.9000244140625,662.5,654.5999755859375,657.5,167299,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-20 11:30:00+03:00,657.5,663.7000122070312,655.7999877929688,662.9000244140625,106950,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-20 12:30:00+03:00,662.9000244140625,672.5999755859375,660.5999755859375,669.2999877929688,202920,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-20 13:30:00+03:00,669.4000244140625,669.7000122070312,664.0999755859375,666.5999755859375,86523,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-20 14:30:00+03:00,666.5999755859375,666.7999877929688,660.2999877929688,664.0,100304,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-20 15:30:00+03:00,663.5,664.5999755859375,657.5,660.5,72587,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
2023-06-20 16:30:00+03:00,660.5999755859375,665.0,657.4000244140625,659.2999877929688,92271,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,FORD OTOSAN,,,,,,False
