,0,1,2,3,4
0,,,,Cari Dönem 31.03.2023,Önceki Dönem 31.12.2022
1,,Finansal Durum Tablosu (Bilanço),,,
2,Finansal Durum Tablosu (Bilanço),,,,
3,,Varlıklar,,,
4,Varlıklar,,,,
5,,DÖNEN VARLIKLAR,,,
6,DÖNEN VARLIKLAR,,,,
7,,Nakit ve Nakit Benzerleri,5.0,22.328.778,25.244.811
8,Nakit ve Nakit Benzerleri,,,,
9,,Gayrimenkul Projeleri Kapsamında Açılan Nakit Hesapları,,,
10,Gayrimenkul Projeleri Kapsamında Açılan Nakit Hesapları,,,,
11,,Finansal Yatırımlar,6.0,3.238.140,3.827.944
12,Finansal Yatırımlar,,,,
13,,Kullanımı Kısıtlı Banka Bakiyeleri,,,
14,Kullanımı Kısıtlı Banka Bakiyeleri,,,,
15,,Vadeli Mevduatlar,,,
16,Vadeli Mevduatlar,,,,
17,,Satılmaya Hazır Finansal Varlıklar,,,
18,Satılmaya Hazır Finansal Varlıklar,,,,
19,,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,,,
20,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,,,,
21,,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,,,
22,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,,,,
23,,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,,,
24,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,,,,
25,,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,,,
26,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,,,,
27,,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,,,
28,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,,,,
