,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
41,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,,,,,,
42,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,,,,,,
43,Dönemde Ödenen Kar Payı Avansları,,,,,,,,,,,,,,,,,
44,Dönemde Ödenen Kar Payı Avansları,,,,,,,,,,,,,,,,,
45,Kar Payları,,,,,,,,,,,,,,,,,
46,Kar Payları,,,,,,,,,,,,,,,,,
47,Kar Payı Hariç Pay Sahiplerine Yapılan Diğer Ödemeler,,,,,,,,,,,,,,,,,
48,Kar Payı Hariç Pay Sahiplerine Yapılan Diğer Ödemeler,,,,,,,,,,,,,,,,,
49,Payların Geri Alım İşlemleri Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,
50,Payların Geri Alım İşlemleri Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,
51,Pay Bazlı İşlemler Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,
52,Pay Bazlı İşlemler Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,
53,Bağlı Ortaklık Edinimi veya Elden Çıkarılması,,,,,,,,,,,,,,,,,
54,Bağlı Ortaklık Edinimi veya Elden Çıkarılması,,,,,,,,,,,,,,,,,
55,Bağlı Ortaklıklarda Kontrol Kaybı ile Sonuçlanmayan Pay Oranı Değişikliklerine Bağlı Artış/Azalış,,,,,,,,,,,,,,,,,
56,Bağlı Ortaklıklarda Kontrol Kaybı ile Sonuçlanmayan Pay Oranı Değişikliklerine Bağlı Artış/Azalış,,,,,,,,,,,,,,,,,
57,Kontrol Gücü Olmayan Pay Sahipleriyle Yapılan İşlemler,,,,,,,,,,,,,,,,,
58,Kontrol Gücü Olmayan Pay Sahipleriyle Yapılan İşlemler,,,,,,,,,,,,,,,,,
59,Pay Sahiplerinin Diğer Katkıları,,,,,,,,,,,,,,,,,
60,Pay Sahiplerinin Diğer Katkıları,,,,,,,,,,,,,,,,,
61,Nakit Akış Riskinden Korunma Kazançları (Kayıpları) Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
62,Nakit Akış Riskinden Korunma Kazançları (Kayıpları) Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
63,Opsiyonların Zaman Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
64,Opsiyonların Zaman Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
65,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
