,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
116,Payların Geri Alım İşlemleri Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,
117,Payların Geri Alım İşlemleri Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,
118,Pay Bazlı İşlemler Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,
119,Pay Bazlı İşlemler Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,
120,Bağlı Ortaklık Edinimi veya Elden Çıkarılması,,,,,,,,,,,,,,,,,
121,Bağlı Ortaklık Edinimi veya Elden Çıkarılması,,,,,,,,,,,,,,,,,
122,Bağlı Ortaklıklarda Kontrol Kaybı ile Sonuçlanmayan Pay Oranı Değişikliklerine Bağlı Artış/Azalış,,,,,,,,,,,,,,,,,
123,Bağlı Ortaklıklarda Kontrol Kaybı ile Sonuçlanmayan Pay Oranı Değişikliklerine Bağlı Artış/Azalış,,,,,,,,,,,,,,,,,
124,Kontrol Gücü Olmayan Pay Sahipleriyle Yapılan İşlemler,,,,,,,,,,,,,,,,,
125,Kontrol Gücü Olmayan Pay Sahipleriyle Yapılan İşlemler,,,,,,,,,,,,,,,,,
126,Pay Sahiplerinin Diğer Katkıları,,,,,,,,,,,,,,,,,
127,Pay Sahiplerinin Diğer Katkıları,,,,,,,,,,,,,,,,,
128,Nakit Akış Riskinden Korunma Kazançları (Kayıpları) Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
129,Nakit Akış Riskinden Korunma Kazançları (Kayıpları) Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
130,Opsiyonların Zaman Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
131,Opsiyonların Zaman Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
132,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
133,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
134,Yabancı Para Alım Satım Marjlarındaki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
135,Yabancı Para Alım Satım Marjlarındaki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,
136,Diğer Değişiklikler Nedeni İle Artış (Azalış),,,,,,,,,,,,,,,,,
137,Diğer Değişiklikler Nedeni İle Artış (Azalış),,,,,,,,,,,,,,,,,
138,Dönem Sonu Bakiyeler,,850.000.000,412.110.087,-2.374.543,,,,,,52.168.495,171.953.239,1.827.009.411,,3.310.866.689,,3.310.866.689,
139,Dönem Sonu Bakiyeler,,,,,,,,,,,,,,,,,
