TARİH,Unnamed: 0,LEVEL1,LEVEL2,LEVEL3,DEĞER,TARIH
31.03.2023,51.0,VARLIKLAR,DÖNEN VARLIKLAR,ARA TOPLAM,68379517.0,2023-03-31
31.03.2023,52.0,VARLIKLAR,DÖNEN VARLIKLAR,Satış Amaçlı Sınıflandırılan Duran Varlıklar,,2023-03-31
31.03.2023,53.0,VARLIKLAR,DÖNEN VARLIKLAR,Ortaklara Dağıtılmak Üzere Elde Tutulan Duran Varlıklar,,2023-03-31
31.03.2023,54.0,VARLIKLAR,DÖNEN VARLIKLAR,TOPLAM DÖNEN VARLIKLAR,68379517.0,2023-03-31
31.03.2023,55.0,VARLIKLAR,DURAN VARLIKLAR,DURAN VARLIKLAR,,2023-03-31
31.03.2023,56.0,VARLIKLAR,DURAN VARLIKLAR,Finansal Yatırımlar,129014.0,2023-03-31
31.03.2023,57.0,VARLIKLAR,DURAN VARLIKLAR,Kullanımı Kısıtlı Banka Bakiyeleri,,2023-03-31
31.03.2023,58.0,VARLIKLAR,DURAN VARLIKLAR,Vadeli Mevduatlar,,2023-03-31
31.03.2023,59.0,VARLIKLAR,DURAN VARLIKLAR,Satılmaya Hazır Finansal Yatırımlar,,2023-03-31
31.03.2023,60.0,VARLIKLAR,DURAN VARLIKLAR,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,,2023-03-31
31.03.2023,61.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,,2023-03-31
31.03.2023,62.0,VARLIKLAR,DURAN VARLIKLAR,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,,2023-03-31
31.03.2023,63.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,,2023-03-31
31.03.2023,64.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,,2023-03-31
31.03.2023,65.0,VARLIKLAR,DURAN VARLIKLAR,Yatırım Riski Hayat Poliçesi Sahiplerine Ait Finansal Yatırımlar,,2023-03-31
31.03.2023,66.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklar,,2023-03-31
31.03.2023,67.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılarak Ölçülen Finansal Varlıklar,,2023-03-31
31.03.2023,68.0,VARLIKLAR,DURAN VARLIKLAR,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlar,,2023-03-31
31.03.2023,69.0,VARLIKLAR,DURAN VARLIKLAR,İtfa Edilmiş Maliyetiyle Ölçülen Finansal Varlıklar,,2023-03-31
31.03.2023,70.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Finansal Yatırımlar,,2023-03-31
31.03.2023,71.0,VARLIKLAR,DURAN VARLIKLAR,"İştirakler, İş Ortaklıkları ve Bağlı Ortaklıklardaki Yatırımlar",58000.0,2023-03-31
31.03.2023,72.0,VARLIKLAR,DURAN VARLIKLAR,Ticari Alacaklar,16959.0,2023-03-31
31.03.2023,73.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflardan Ticari Alacaklar,,2023-03-31
31.03.2023,74.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflardan Ticari Alacaklar,16959.0,2023-03-31
31.03.2023,75.0,VARLIKLAR,DURAN VARLIKLAR,Finans Sektörü Faaliyetlerinden Alacaklar,,2023-03-31
31.03.2023,76.0,VARLIKLAR,DURAN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Taraflardan Alacaklar,,2023-03-31
31.03.2023,77.0,VARLIKLAR,DURAN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflardan Alacaklar,,2023-03-31
31.03.2023,78.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Alacaklar,1154494.0,2023-03-31
31.03.2023,79.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflardan Diğer Alacaklar,1154494.0,2023-03-31
31.03.2023,80.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflardan Diğer Alacaklar,,2023-03-31
31.03.2023,81.0,VARLIKLAR,DURAN VARLIKLAR,Müşteri Sözleşmelerinden Doğan Varlıklar,,2023-03-31
31.03.2023,82.0,VARLIKLAR,DURAN VARLIKLAR,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıkları,,2023-03-31
31.03.2023,83.0,VARLIKLAR,DURAN VARLIKLAR,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,,2023-03-31
31.03.2023,84.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Sözleşme Varlıkları,,2023-03-31
31.03.2023,85.0,VARLIKLAR,DURAN VARLIKLAR,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,,2023-03-31
31.03.2023,86.0,VARLIKLAR,DURAN VARLIKLAR,Türev Araçlar,395815.0,2023-03-31
31.03.2023,87.0,VARLIKLAR,DURAN VARLIKLAR,Alım Satım Amaçlı Türev Araçlar,,2023-03-31
31.03.2023,88.0,VARLIKLAR,DURAN VARLIKLAR,Riskten Korunma Amaçlı Türev Araçlar,,2023-03-31
31.03.2023,89.0,VARLIKLAR,DURAN VARLIKLAR,Stoklar,,2023-03-31
31.03.2023,90.0,VARLIKLAR,DURAN VARLIKLAR,Özkaynak Yöntemiyle Değerlenen Yatırımlar,,2023-03-31
31.03.2023,91.0,VARLIKLAR,DURAN VARLIKLAR,Canlı Varlıklar,,2023-03-31
31.03.2023,92.0,VARLIKLAR,DURAN VARLIKLAR,Yatırım Amaçlı Gayrimenkuller,,2023-03-31
31.03.2023,93.0,VARLIKLAR,DURAN VARLIKLAR,Proje Halindeki Yatırım Amaçlı Gayrimenkuller,,2023-03-31
31.03.2023,94.0,VARLIKLAR,DURAN VARLIKLAR,Maddi Duran Varlıklar,21639775.0,2023-03-31
31.03.2023,95.0,VARLIKLAR,DURAN VARLIKLAR,Arazi ve Arsalar,,2023-03-31
31.03.2023,96.0,VARLIKLAR,DURAN VARLIKLAR,Yeraltı ve Yerüstü Düzenlemeleri,,2023-03-31
31.03.2023,97.0,VARLIKLAR,DURAN VARLIKLAR,Binalar,,2023-03-31
31.03.2023,98.0,VARLIKLAR,DURAN VARLIKLAR,"Tesis, Makine ve Cihazlar",,2023-03-31
31.03.2023,99.0,VARLIKLAR,DURAN VARLIKLAR,Taşıtlar,,2023-03-31
31.03.2023,100.0,VARLIKLAR,DURAN VARLIKLAR,Mobilya ve Demirbaşlar,,2023-03-31
31.03.2023,101.0,VARLIKLAR,DURAN VARLIKLAR,Özel Maliyetler,,2023-03-31
31.03.2023,102.0,VARLIKLAR,DURAN VARLIKLAR,Taşıyıcı Bitkiler,,2023-03-31
31.03.2023,103.0,VARLIKLAR,DURAN VARLIKLAR,Özel Tükenmeye Tabi Varlıklar,,2023-03-31
31.03.2023,104.0,VARLIKLAR,DURAN VARLIKLAR,Yapılmakta Olan Yatırımlar,,2023-03-31
31.03.2023,105.0,VARLIKLAR,DURAN VARLIKLAR,Faaliyet Kiralamasına Konu Varlıklar,,2023-03-31
31.03.2023,106.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Maddi Duran Varlıklar,,2023-03-31
31.03.2023,107.0,VARLIKLAR,DURAN VARLIKLAR,Kullanım Hakkı Varlıkları,147750.0,2023-03-31
31.03.2023,108.0,VARLIKLAR,DURAN VARLIKLAR,Maddi Olmayan Duran Varlıklar,8008328.0,2023-03-31
31.03.2023,109.0,VARLIKLAR,DURAN VARLIKLAR,Şerefiye,525778.0,2023-03-31
31.03.2023,110.0,VARLIKLAR,DURAN VARLIKLAR,İmtiyaz Sözleşmelerinden Doğan Haklar,,2023-03-31
31.03.2023,111.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Haklar,,2023-03-31
31.03.2023,112.0,VARLIKLAR,DURAN VARLIKLAR,Patentler,,2023-03-31
31.03.2023,113.0,VARLIKLAR,DURAN VARLIKLAR,Markalar,,2023-03-31
31.03.2023,114.0,VARLIKLAR,DURAN VARLIKLAR,Lisanslar,,2023-03-31
31.03.2023,115.0,VARLIKLAR,DURAN VARLIKLAR,Bilgisayar Yazılımları,,2023-03-31
31.03.2023,116.0,VARLIKLAR,DURAN VARLIKLAR,Aktifleştirilen Geliştirme Maliyetleri,,2023-03-31
31.03.2023,117.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Maddi Olmayan Duran Varlıklar,7482550.0,2023-03-31
31.03.2023,118.0,VARLIKLAR,DURAN VARLIKLAR,Peşin Ödenmiş Giderler,7427560.0,2023-03-31
31.03.2023,119.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflara Peşin Ödenmiş Giderler,,2023-03-31
31.03.2023,120.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflara Peşin Ödenmiş Giderler,,2023-03-31
31.03.2023,121.0,VARLIKLAR,DURAN VARLIKLAR,Ertelenmiş Vergi Varlığı,7423445.0,2023-03-31
31.03.2023,122.0,VARLIKLAR,DURAN VARLIKLAR,Cari Dönem Vergisiyle İlgili Duran Varlıklar,,2023-03-31
31.03.2023,123.0,VARLIKLAR,DURAN VARLIKLAR,Nakit Dışı Serbest Kullanılabilir Teminatlar,,2023-03-31
31.03.2023,124.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Duran Varlıklar,,2023-03-31
31.03.2023,125.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflara İlişkin Diğer Duran Varlıklar,,2023-03-31
31.03.2023,126.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflara İlişkin Diğer Duran Varlıklar,,2023-03-31
31.03.2023,127.0,VARLIKLAR,DURAN VARLIKLAR,TOPLAM DURAN VARLIKLAR,46401140.0,2023-03-31
31.03.2023,128.0,VARLIKLAR,,TOPLAM VARLIKLAR,114780657.0,2023-03-31
31.03.2023,129.0,KAYNAKLAR,,KAYNAKLAR,,2023-03-31
31.03.2023,130.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,KISA VADELİ YÜKÜMLÜLÜKLER,,2023-03-31
31.03.2023,131.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kısa Vadeli Borçlanmalar,10985160.0,2023-03-31
31.03.2023,132.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflardan Kısa Vadeli Borçlanmalar,,2023-03-31
31.03.2023,133.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,,2023-03-31
31.03.2023,134.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,,2023-03-31
31.03.2023,135.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,,2023-03-31
31.03.2023,136.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Kısa Vadeli Borçlanmalar,,2023-03-31
31.03.2023,137.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflardan Kısa Vadeli Borçlanmalar,10985160.0,2023-03-31
31.03.2023,138.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,10985160.0,2023-03-31
31.03.2023,139.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,,2023-03-31
31.03.2023,140.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,,2023-03-31
31.03.2023,141.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Kısa Vadeli Borçlanmalar,,2023-03-31
31.03.2023,142.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,5578645.0,2023-03-31
31.03.2023,143.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflardan Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,,2023-03-31
31.03.2023,144.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,,2023-03-31
31.03.2023,145.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,,2023-03-31
31.03.2023,146.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,,2023-03-31
31.03.2023,147.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,,2023-03-31
31.03.2023,148.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflardan Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,5578645.0,2023-03-31
31.03.2023,149.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,5509234.0,2023-03-31
31.03.2023,150.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,69411.0,2023-03-31
31.03.2023,151.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,,2023-03-31
31.03.2023,152.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,,2023-03-31
31.03.2023,153.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Finansal Yükümlülükler,,2023-03-31
31.03.2023,154.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kontrol Gücü Olmayan Paylara İlişkin Satış Opsiyon Yükümlülükleri,,2023-03-31
31.03.2023,155.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Finansal Teminat Sözleşmeleri,,2023-03-31
31.03.2023,156.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Muhtelif Finansal Yükümlülükler,,2023-03-31
31.03.2023,157.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Ticari Borçlar,38666513.0,2023-03-31
31.03.2023,158.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Ticari Borçlar,6300776.0,2023-03-31
31.03.2023,159.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Ticari Borçlar,32365737.0,2023-03-31
31.03.2023,160.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden Borçlar,,2023-03-31
31.03.2023,161.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden İlişkili Taraflara Borçlar,,2023-03-31
31.03.2023,162.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflara Borçlar,,2023-03-31
31.03.2023,163.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Çalışanlara Sağlanan Faydalar Kapsamında Borçlar,1328781.0,2023-03-31
31.03.2023,164.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Borçlar,924917.0,2023-03-31
31.03.2023,165.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Diğer Borçlar,0.0,2023-03-31
31.03.2023,166.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Diğer Borçlar,924917.0,2023-03-31
31.03.2023,167.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Müşteri Sözleşmelerinden Doğan Yükümlülükler,,2023-03-31
31.03.2023,168.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Yükümlülükleri,,2023-03-31
31.03.2023,169.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Mal ve Hizmet Satışlarından Doğan Sözleşme Yükümlülükleri,,2023-03-31
31.03.2023,170.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Sözleşme Yükümlülükleri,,2023-03-31
31.03.2023,171.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Özkaynak Yöntemiyle Değerlenen Yatırımlardan Yükümlülükler,,2023-03-31
31.03.2023,172.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Türev Araçlar,61707.0,2023-03-31
31.03.2023,173.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Alım Satım Amaçlı Türev Araçlar,,2023-03-31
31.03.2023,174.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Riskten Korunma Amaçlı Türev Araçlar,,2023-03-31
31.03.2023,175.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Devlet Teşvik ve Yardımları,,2023-03-31
31.03.2023,176.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),175408.0,2023-03-31
31.03.2023,177.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflardan Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),,2023-03-31
31.03.2023,178.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflardan Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),,2023-03-31
31.03.2023,179.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Dönem Karı Vergi Yükümlülüğü,1655868.0,2023-03-31
31.03.2023,180.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kısa Vadeli Karşılıklar,624069.0,2023-03-31
31.03.2023,181.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Çalışanlara Sağlanan Faydalara İlişkin Kısa Vadeli Karşılıklar,,2023-03-31
31.03.2023,182.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Sigortacılık Teknik Karşılıkları,,2023-03-31
31.03.2023,183.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Kısa Vadeli Karşılıklar,624069.0,2023-03-31
31.03.2023,184.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Kısa Vadeli Yükümlülükler,,2023-03-31
31.03.2023,185.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Diğer Kısa Vadeli Yükümlülükler,,2023-03-31
31.03.2023,186.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Diğer Kısa Vadeli Yükümlülükler,,2023-03-31
31.03.2023,187.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,ARA TOPLAM,60001068.0,2023-03-31
31.03.2023,188.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Satış Amaçlı Sınıflandırılan Varlık Gruplarına İlişkin Yükümlülükler,,2023-03-31
31.03.2023,189.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Ortaklara Dağıtılmak Üzere Elde Tutulan Varlık Gruplarına İlişkin Yükümlülükler,,2023-03-31
31.03.2023,190.0,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,TOPLAM KISA VADELİ YÜKÜMLÜLÜKLER,60001068.0,2023-03-31
31.03.2023,191.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,UZUN VADELİ YÜKÜMLÜLÜKLER,,2023-03-31
31.03.2023,192.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Uzun Vadeli Borçlanmalar,29099710.0,2023-03-31
31.03.2023,193.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflardan Uzun Vadeli Borçlanmalar,6706849.0,2023-03-31
31.03.2023,194.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,,2023-03-31
31.03.2023,195.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,,2023-03-31
31.03.2023,196.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,,2023-03-31
31.03.2023,197.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Uzun Vadeli Borçlanmalar,6706849.0,2023-03-31
31.03.2023,198.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflardan Uzun Vadeli Borçlanmalar,22392861.0,2023-03-31
31.03.2023,199.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,22288388.0,2023-03-31
31.03.2023,200.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,104473.0,2023-03-31
31.03.2023,201.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,,2023-03-31
31.03.2023,202.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Uzun Vadeli Borçlanmalar,,2023-03-31
31.03.2023,203.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Finansal Yükümlülükler,,2023-03-31
31.03.2023,204.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Kontrol Gücü Olmayan Paylara İlişkin Satış Opsiyon Yükümlülükleri,,2023-03-31
31.03.2023,205.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Finansal Teminat Sözleşmeleri,,2023-03-31
31.03.2023,206.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Muhtelif Finansal Yükümlülükler,,2023-03-31
31.03.2023,207.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Ticari Borçlar,,2023-03-31
31.03.2023,208.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Ticari Borçlar,,2023-03-31
31.03.2023,209.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Ticari Borçlar,,2023-03-31
31.03.2023,210.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden Borçlar,,2023-03-31
31.03.2023,211.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden İlişkili Taraflara Borçlar,,2023-03-31
31.03.2023,212.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflara Borçlar,,2023-03-31
31.03.2023,213.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Çalışanlara Sağlanan Faydalar Kapsamında Borçlar,,2023-03-31
31.03.2023,214.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Borçlar,,2023-03-31
31.03.2023,215.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Diğer Borçlar,,2023-03-31
31.03.2023,216.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Diğer Borçlar,,2023-03-31
31.03.2023,217.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Müşteri Sözleşmelerinden Doğan Yükümlülükler,,2023-03-31
31.03.2023,218.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Yükümlülükleri,,2023-03-31
31.03.2023,219.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Mal ve Hizmet Satışlarından Doğan Sözleşme Yükümlülükleri,,2023-03-31
31.03.2023,220.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Sözleşme Yükümlülükleri,,2023-03-31
31.03.2023,221.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Özkaynak Yöntemiyle Değerlenen Yatırımlardan Yükümlülükler,,2023-03-31
31.03.2023,222.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Türev Araçlar,23765.0,2023-03-31
31.03.2023,223.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Alım Satım Amaçlı Türev Araçlar,,2023-03-31
31.03.2023,224.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Riskten Korunma Amaçlı Türev Araçlar,,2023-03-31
31.03.2023,225.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Devlet Teşvik ve Yardımları,,2023-03-31
31.03.2023,226.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),512101.0,2023-03-31
31.03.2023,227.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflardan Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),,2023-03-31
31.03.2023,228.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflardan Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),,2023-03-31
31.03.2023,229.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Uzun Vadeli Karşılıklar,2493302.0,2023-03-31
31.03.2023,230.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Çalışanlara Sağlanan Faydalara İlişkin Uzun Vadeli Karşılıklar,1696928.0,2023-03-31
31.03.2023,231.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Genel Karşılıklar,,2023-03-31
31.03.2023,232.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Muhtemel Riskler İçin Ayrılan Serbest Karşılıklar,,2023-03-31
31.03.2023,233.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Sigortacılık Teknik Karşılıkları,,2023-03-31
31.03.2023,234.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Uzun Vadeli Karşılıklar,796374.0,2023-03-31
31.03.2023,235.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Cari Dönem Vergisiyle İlgili Borçlar,,2023-03-31
31.03.2023,236.0,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Ertelenmiş Vergi Yükümlülüğü,582703.0,2023-03-31
