Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA 30,SMA 100,Buy_Signal_price,Sell_Signal_price,balance_try,balance_stock,calc_balance_try,balance_try_al_yat,balance_stock_al_yat,calc_balance_try_al_yat,company,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Buy_Signal_price,MACD_Sell_Signal_price,positive
2023-06-19 09:30:00+03:00,42.20000076293945,42.220001220703125,41.79999923706055,41.86000061035156,0,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-19 10:30:00+03:00,41.84000015258789,41.86000061035156,41.2599983215332,41.5,5726689,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-19 11:30:00+03:00,41.5,41.779998779296875,41.41999816894531,41.63999938964844,2841043,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-19 12:30:00+03:00,41.619998931884766,41.81999969482422,41.380001068115234,41.47999954223633,2882926,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-19 13:30:00+03:00,41.47999954223633,41.52000045776367,41.099998474121094,41.119998931884766,3030885,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-19 14:30:00+03:00,41.119998931884766,41.29999923706055,41.060001373291016,41.099998474121094,3260935,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-19 15:30:00+03:00,41.119998931884766,41.18000030517578,40.959999084472656,41.02000045776367,4211511,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-19 16:30:00+03:00,41.02000045776367,41.15999984741211,40.65999984741211,40.70000076293945,4449048,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-19 17:30:00+03:00,40.70000076293945,40.779998779296875,40.18000030517578,40.41999816894531,4924115,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-20 09:30:00+03:00,40.2599983215332,40.5,39.86000061035156,40.2599983215332,0,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-20 10:30:00+03:00,40.2400016784668,40.459999084472656,40.0,40.15999984741211,3843561,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-20 11:30:00+03:00,40.13999938964844,40.380001068115234,40.02000045776367,40.220001220703125,2883932,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-20 12:30:00+03:00,40.220001220703125,40.79999923706055,40.119998931884766,40.459999084472656,5247167,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-20 13:30:00+03:00,40.459999084472656,40.47999954223633,40.2400016784668,40.41999816894531,2689775,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-20 14:30:00+03:00,40.41999816894531,40.439998626708984,40.08000183105469,40.279998779296875,3190915,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-20 15:30:00+03:00,40.279998779296875,40.279998779296875,39.86000061035156,40.02000045776367,3717576,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-20 16:30:00+03:00,40.0,40.31999969482422,39.86000061035156,39.959999084472656,4553423,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-20 17:30:00+03:00,39.959999084472656,40.18000030517578,39.779998779296875,40.02000045776367,3235680,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-21 09:30:00+03:00,40.220001220703125,40.52000045776367,40.220001220703125,40.41999816894531,0,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-21 10:30:00+03:00,40.400001525878906,41.08000183105469,40.380001068115234,40.880001068115234,9416166,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-21 11:30:00+03:00,40.880001068115234,40.97999954223633,40.619998931884766,40.70000076293945,4097202,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-21 12:30:00+03:00,40.70000076293945,40.779998779296875,40.560001373291016,40.65999984741211,2666842,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-21 13:30:00+03:00,40.68000030517578,40.7400016784668,40.29999923706055,40.599998474121094,3552128,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-21 14:30:00+03:00,40.599998474121094,40.79999923706055,40.459999084472656,40.540000915527344,2797480,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-21 15:30:00+03:00,40.540000915527344,40.560001373291016,39.959999084472656,40.119998931884766,4715189,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,,,,,,False
2023-06-21 16:30:00+03:00,40.119998931884766,40.20000076293945,39.7400016784668,39.86000061035156,4313182,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,-0.23761652135129907,,,,,False
2023-06-21 17:30:00+03:00,39.86000061035156,39.959999084472656,39.599998474121094,39.7599983215332,2918754,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,-0.2705846739980231,,,,,False
2023-06-22 09:30:00+03:00,39.79999923706055,40.040000915527344,39.560001373291016,39.599998474121094,0,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,-0.3060943577854829,,,,,False
2023-06-22 10:30:00+03:00,39.599998474121094,39.959999084472656,39.2599983215332,39.91999816894531,5035838,0.0,0.0,,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,-0.304900039139703,,,,,False
2023-06-22 11:30:00+03:00,39.91999816894531,40.08000183105469,39.79999923706055,39.880001068115234,3199276,0.0,0.0,40.51933288574219,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,-0.3036803270003716,,,,,False
2023-06-22 12:30:00+03:00,39.86000061035156,40.36000061035156,39.84000015258789,40.15999984741211,3704576,0.0,0.0,40.4626661936442,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,-0.27692788265100177,,,,,False
2023-06-22 13:30:00+03:00,40.18000030517578,41.2400016784668,39.86000061035156,40.97999954223633,12466019,0.0,0.0,40.445332845052086,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,-0.18739903597931828,,,,,False
2023-06-22 14:30:00+03:00,40.959999084472656,41.720001220703125,40.779998779296875,41.65999984741211,14320987,0.0,0.0,40.44599952697754,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,-0.060874712550393895,,,,,False
2023-06-22 15:30:00+03:00,41.65999984741211,42.439998626708984,41.65999984741211,42.2599983215332,13474568,0.0,0.0,40.47199948628744,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.08681088593549191,0.29361829310439214,-0.2068074071689002,42.2599983215332,,False
2023-06-22 16:30:00+03:00,42.279998779296875,42.7599983215332,41.939998626708984,42.70000076293945,11578069,0.0,0.0,40.524666213989256,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.2366295879276663,0.3547495960772532,-0.11812000814958692,,,True
2023-06-22 17:30:00+03:00,42.720001220703125,43.20000076293945,42.65999984741211,43.20000076293945,7424487,0.0,0.0,40.5946662902832,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.39119831925568604,0.40745466192421836,-0.016256342668532334,,,True
2023-06-23 09:30:00+03:00,43.540000915527344,44.63999938964844,43.540000915527344,44.119998931884766,0,0.0,0.0,40.69799957275391,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.5812312439527005,0.4779900692969863,0.10324117465571425,,,True
2023-06-23 10:30:00+03:00,44.119998931884766,44.31999969482422,43.900001525878906,44.13999938964844,7394493,0.0,0.0,40.812666193644205,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.7250891987482859,0.49747841927405734,0.2276107794742286,,,True
2023-06-23 11:30:00+03:00,44.13999938964844,44.20000076293945,43.79999923706055,43.91999816894531,4656183,0.0,0.0,40.92933286031087,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.8119853428910417,0.4674996507334505,0.34448569215759123,,,False
2023-06-23 12:30:00+03:00,43.91999816894531,44.2599983215332,43.81999969482422,44.119998931884766,5687080,0.0,0.0,41.05799954732259,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.8867674500990219,0.43382540635314454,0.4529420437458774,,,False
2023-06-23 13:30:00+03:00,44.099998474121094,44.119998931884766,43.81999969482422,43.939998626708984,3742500,0.0,0.0,41.18399950663249,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.9208928094633322,0.3743606125739638,0.5465321968893684,,,False
2023-06-23 14:30:00+03:00,43.939998626708984,43.97999954223633,43.5,43.599998474121094,5907783,0.0,0.0,41.296666081746416,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.910012177881768,0.29078398479391965,0.6192281930878484,,,False
2023-06-23 15:30:00+03:00,43.599998474121094,43.619998931884766,43.2599983215332,43.5,4875180,0.0,0.0,41.39799944559733,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.8831398711243708,0.21112934242921788,0.6720105286951529,,,False
2023-06-23 16:30:00+03:00,43.47999954223633,44.0,43.400001525878906,44.0,6572031,0.0,0.0,41.51733283996582,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.8919078373842453,0.17591784695127388,0.7159899904329714,,,False
2023-06-23 17:30:00+03:00,44.0,44.18000030517578,43.79999923706055,43.959999084472656,7097221,0.0,0.0,41.63999951680501,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.8854221785157677,0.13554575046623696,0.7498764280495307,,,False
2023-06-26 09:30:00+03:00,44.099998474121094,44.380001068115234,43.959999084472656,44.36000061035156,0,0.0,0.0,41.78466618855794,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.9021594942471438,0.12182645295809047,0.7803330412890533,,,False
2023-06-26 10:30:00+03:00,44.34000015258789,44.58000183105469,44.2400016784668,44.41999816894531,8621113,0.0,0.0,41.93333282470703,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.9097778859558758,0.10355587573345792,0.8062220102224179,,,False
2023-06-26 11:30:00+03:00,44.400001525878906,44.84000015258789,44.36000061035156,44.63999938964844,9147324,0.0,0.0,42.08733278910319,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.9229288271403959,0.09336545353438241,0.8295633736060135,,,False
2023-06-26 12:30:00+03:00,44.63999938964844,44.7599983215332,44.47999954223633,44.599998474121094,4625436,0.0,0.0,42.22666613260905,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.9195236074321826,0.07196818706093522,0.8475554203712474,,,False
2023-06-26 13:30:00+03:00,44.58000183105469,44.70000076293945,44.560001373291016,44.599998474121094,2834067,0.0,0.0,42.35066604614258,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.9063767987441835,0.04705710269834884,0.8593196960458347,,,False
2023-06-26 14:30:00+03:00,44.619998931884766,44.720001220703125,44.540000915527344,44.599998474121094,3439523,0.0,0.0,42.48066596984863,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.8857475121795702,0.021142252906988235,0.8646052592725819,,,False
2023-06-26 15:30:00+03:00,44.599998474121094,44.81999969482422,44.58000183105469,44.70000076293945,5194621,0.0,0.0,42.61533266703288,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.867468367544042,0.0022904866171680194,0.865177880926874,,,False
2023-06-26 16:30:00+03:00,44.70000076293945,44.779998779296875,44.58000183105469,44.70000076293945,5622646,0.0,0.0,42.75199940999349,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.8432614209772424,-0.017533167959705276,0.8607945889369477,,44.70000076293945,False
2023-06-26 17:30:00+03:00,44.70000076293945,44.7400016784668,44.540000915527344,44.58000183105469,4462909,0.0,0.0,42.88666610717773,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.805113483420115,-0.04454488441346627,0.8496583678335813,,,False
2023-06-27 09:30:00+03:00,44.58000183105469,44.58000183105469,44.060001373291016,44.29999923706055,0,0.0,0.0,43.02599945068359,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.7437140264579298,-0.08475547310052123,0.8284694995584511,,,False
2023-06-27 10:30:00+03:00,44.31999969482422,44.720001220703125,44.279998779296875,44.619998931884766,5611501,0.0,0.0,43.184666061401366,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.7126607064711692,-0.09264703446982558,0.8053077409409948,,,False
2023-06-27 11:30:00+03:00,44.599998474121094,44.65999984741211,44.439998626708984,44.540000915527344,5427131,0.0,0.0,43.34399948120117,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.6738280845900988,-0.10518372508071683,0.7790118096708156,,,False
2023-06-27 12:30:00+03:00,44.459999084472656,44.459999084472656,44.459999084472656,44.459999084472656,1302040,0.0,0.0,43.50599950154622,,,,100000.0,0.0,100000.0,100000,0.0,100000.0,SISE CAM,0.6293428007576622,-0.11973520713052277,0.749078007888185,,,False
