Kalem,30.06.2023,31.12.2022
Nakit ve Nakit Benzerleri,46.342.824,47.635.158
Finansal Yatırımlar,66.140,2.135.177
Ticari Alacaklar,30.630.746,21.417.520
İlişkili Taraflardan Ticari Alacaklar,5.856.825,3.187.872
İlişkili Olmayan Taraflardan Ticari Alacaklar,24.773.921,18.229.648
Diğer Alacaklar,81.321,40.622
İlişkili Olmayan Taraflardan Diğer Alacaklar,81.321,40.622
Türev Araçlar,1.892.174,3.597.033
Stoklar,39.449.976,36.046.008
Peşin Ödenmiş Giderler,600.671,748.787
Diğer Dönen Varlıklar,9.500.306,8.090.400
ARA TOPLAM,128.564.158,119.710.705
TOPLAM DÖNEN VARLIKLAR,128.564.158,119.710.705
Finansal Yatırımlar,196.915,66.325
Türev Araçlar,45.056,57.048
Özkaynak Yöntemiyle Değerlenen Yatırımlar,3.488.531,2.962.632
Maddi Duran Varlıklar,35.384.906,32.904.315
Kullanım Hakkı Varlıkları,241.909,219.531
Maddi Olmayan Duran Varlıklar,584.099,556.630
Şerefiye,599,599
Diğer Maddi Olmayan Duran Varlıklar,583.500,556.031
Peşin Ödenmiş Giderler,664.106,618.384
Ertelenmiş Vergi Varlığı,9.777.899,9.195.612
Diğer Duran Varlıklar,3.004.589,2.601.153
TOPLAM DURAN VARLIKLAR,53.388.010,49.181.630
TOPLAM VARLIKLAR,181.952.168,168.892.335
Kısa Vadeli Borçlanmalar,3.335.393,863.318
Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,6.818.128,11.131.173
Ticari Borçlar,59.046.795,52.698.764
İlişkili Taraflara Ticari Borçlar,871.433,1.156.421
İlişkili Olmayan Taraflara Ticari Borçlar,58.175.362,51.542.343
Çalışanlara Sağlanan Faydalar Kapsamında Borçlar,297.456,417.647
Diğer Borçlar,80.616,262.395
İlişkili Taraflara Diğer Borçlar,0,169.841
İlişkili Olmayan Taraflara Diğer Borçlar,80.616,92.554
Türev Araçlar,600.857,994.512
Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),130.303,116.249
Dönem Karı Vergi Yükümlülüğü,1.543.486,955.255
Kısa Vadeli Karşılıklar,1.460.427,530.528
Çalışanlara Sağlanan Faydalara İlişkin Kısa Vadeli Karşılıklar,339.472,47.604
Diğer Kısa Vadeli Karşılıklar,1.120.955,482.924
Diğer Kısa Vadeli Yükümlülükler,12.174.060,10.925.569
ARA TOPLAM,85.487.521,78.895.410
TOPLAM KISA VADELİ YÜKÜMLÜLÜKLER,85.487.521,78.895.410
Uzun Vadeli Borçlanmalar,26.166.154,21.274.459
Türev Araçlar,432.376,298.200
Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),11.519,3.199
Uzun Vadeli Karşılıklar,1.452.606,1.190.116
Çalışanlara Sağlanan Faydalara İlişkin Uzun Vadeli Karşılıklar,1.452.606,1.190.116
Ertelenmiş Vergi Yükümlülüğü,44.464,44.464
Diğer Uzun Vadeli Yükümlülükler,1.276,715
TOPLAM UZUN VADELİ YÜKÜMLÜLÜKLER,28.108.395,22.811.153
TOPLAM YÜKÜMLÜLÜKLER,113.595.916,101.706.563
Ana Ortaklığa Ait Özkaynaklar,67.775.033,66.743.279
Ödenmiş Sermaye,1.926.796,275.257
Sermaye Düzeltme Farkları,0,1.344.243
Paylara İlişkin Primler (İskontolar),1.000.699,1.000.699
Kar veya Zararda Yeniden Sınıflandırılmayacak Birikmiş Diğer Kapsamlı Gelirler (Giderler),13.901.774,13.901.774
Yeniden Değerleme ve Ölçüm Kazançları (Kayıpları),13.622.714,13.622.714
Maddi Duran Varlık Yeniden Değerleme Artışları (Azalışları),13.928.679,13.928.679
Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),-305.965,-305.965
Özkaynak Yöntemi ile Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılmayacak Paylar,279.060,279.060
Kar veya Zararda Yeniden Sınıflandırılacak Birikmiş Diğer Kapsamlı Gelirler (Giderler),736.211,1.169.774
Yabancı Para Çevrim Farkları,1.209.004,622.209
Riskten Korunma Kazançları (Kayıpları),-1.680.075,-423.080
Nakit Akış Riskinden Korunma Kazançları (Kayıpları),-1.680.075,-423.080
Özkaynak Yöntemi ile Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar/Zararda Sınıflandırılacak Paylar,1.207.282,970.645
Kardan Ayrılan Kısıtlanmış Yedekler,1.751.966,503.343
Geçmiş Yıllar Karları veya Zararları,34.492.270,7.503.568
Net Dönem Karı veya Zararı,13.965.317,41.044.621
Kontrol Gücü Olmayan Paylar,581.219,442.493
TOPLAM ÖZKAYNAKLAR,68.356.252,67.185.772
TOPLAM KAYNAKLAR,181.952.168,168.892.335
