,Nakit ve Nakit Benzerleri,TOPLAM KISA VADELİ YÜKÜMLÜLÜKLER,TOPLAM DÖNEN VARLIKLAR,Stoklar,Diğer Borçlar,Ticari Borçlar,Ticari Alacaklar
30.06.2023,46342824.0,85487521.0,128564158.0,39449976.0,80616.0,59046795.0,30630746.0
31.12.2022,47635158.0,78895410.0,119710705.0,36046008.0,262395.0,52698764.0,21417520.0
