,0,1,2,3,4
0,,,,Cari Dönem 31.12.2022,Önceki Dönem 31.12.2021
1,,Finansal Durum Tablosu (Bilanço),,,
2,Finansal Durum Tablosu (Bilanço),,,,
3,,Varlıklar,,,
4,Varlıklar,,,,
5,,DÖNEN VARLIKLAR,,,
6,DÖNEN VARLIKLAR,,,,
7,,Nakit ve Nakit Benzerleri,6,25.244.811,12.810.775
8,Nakit ve Nakit Benzerleri,,,,
9,,Gayrimenkul Projeleri Kapsamında Açılan Nakit Hesapları,,,
10,Gayrimenkul Projeleri Kapsamında Açılan Nakit Hesapları,,,,
11,,Finansal Yatırımlar,7,3.827.944,3.265.243
12,Finansal Yatırımlar,,,,
13,,Kullanımı Kısıtlı Banka Bakiyeleri,,,
14,Kullanımı Kısıtlı Banka Bakiyeleri,,,,
15,,Vadeli Mevduatlar,,,
16,Vadeli Mevduatlar,,,,
17,,Satılmaya Hazır Finansal Varlıklar,,,
18,Satılmaya Hazır Finansal Varlıklar,,,,
19,,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,,,
20,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,,,,
21,,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,,,
22,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,,,,
23,,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,,,
24,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,,,,
25,,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,,,
26,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,,,,
27,,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,,,
28,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,,,,
29,,Yatırım Riski Hayat Poliçesi Sahiplerine Ait Finansal Yatırımlar,,,
30,Yatırım Riski Hayat Poliçesi Sahiplerine Ait Finansal Yatırımlar,,,,
31,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklar,,,
32,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklar,,,,
33,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılarak Ölçülen Finansal Varlıklar,,,
34,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılarak Ölçülen Finansal Varlıklar,,,,
35,,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlar,,,
36,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlar,,,,
37,,İtfa Edilmiş Maliyetiyle Ölçülen Finansal Varlıklar,,,
38,İtfa Edilmiş Maliyetiyle Ölçülen Finansal Varlıklar,,,,
39,,Diğer Finansal Yatırımlar,,,
40,Diğer Finansal Yatırımlar,,,,
41,,Teminata Verilen Finansal Varlıklar,,,
42,Teminata Verilen Finansal Varlıklar,,,,
43,,Ticari Alacaklar,"10, 37",19.840.432,9.185.761
44,Ticari Alacaklar,,,,
45,,İlişkili Taraflardan Ticari Alacaklar,37,63.234,19.130
46,İlişkili Taraflardan Ticari Alacaklar,,,,
47,,İlişkili Olmayan Taraflardan Ticari Alacaklar,10,19.777.198,9.166.631
48,İlişkili Olmayan Taraflardan Ticari Alacaklar,,,,
49,,Finans Sektörü Faaliyetlerinden Alacaklar,,,
50,Finans Sektörü Faaliyetlerinden Alacaklar,,,,
51,,Finans Sektörü Faaliyetlerinden İlişkili Taraflardan Alacaklar,,,
52,Finans Sektörü Faaliyetlerinden İlişkili Taraflardan Alacaklar,,,,
53,,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflardan Alacaklar,,,
54,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflardan Alacaklar,,,,
55,,Türkiye Cumhuriyet Merkez Bankası Hesabı,,,
56,Türkiye Cumhuriyet Merkez Bankası Hesabı,,,,
57,,Diğer Alacaklar,11,451.699,339.499
58,Diğer Alacaklar,,,,
59,,İlişkili Taraflardan Diğer Alacaklar,,,
60,İlişkili Taraflardan Diğer Alacaklar,,,,
61,,İlişkili Olmayan Taraflardan Diğer Alacaklar,,,
62,İlişkili Olmayan Taraflardan Diğer Alacaklar,,,,
63,,Müşteri Sözleşmelerinden Doğan Varlıklar,15,107.737,121.875
64,Müşteri Sözleşmelerinden Doğan Varlıklar,,,,
65,,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıkları,,,
66,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıkları,,,,
67,,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,,,
68,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,,,,
69,,Diğer Sözleşme Varlıkları,,,
70,Diğer Sözleşme Varlıkları,,,,
71,,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,,,
72,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,,,,
73,,Türev Araçlar,12,914.267,427.362
74,Türev Araçlar,,,,
75,,Alım Satım Amaçlı Türev Araçlar,,,
76,Alım Satım Amaçlı Türev Araçlar,,,,
77,,Riskten Korunma Amaçlı Türev Araçlar,,,
78,Riskten Korunma Amaçlı Türev Araçlar,,,,
79,,Stoklar,13,19.251.800,8.100.964
80,Stoklar,,,,
81,,Proje Halindeki Stoklar,,,
82,Proje Halindeki Stoklar,,,,
83,,Canlı Varlıklar,,,
84,Canlı Varlıklar,,,,
85,,Peşin Ödenmiş Giderler,14,1.884.991,741.391
86,Peşin Ödenmiş Giderler,,,,
87,,İlişkili Taraflara Peşin Ödenmiş Giderler,,,
88,İlişkili Taraflara Peşin Ödenmiş Giderler,,,,
89,,İlişkili Olmayan Taraflara Peşin Ödenmiş Giderler,,,
90,İlişkili Olmayan Taraflara Peşin Ödenmiş Giderler,,,,
91,,Ertelenmiş Sigortacılık Üretim Giderleri,,,
92,Ertelenmiş Sigortacılık Üretim Giderleri,,,,
93,,Cari Dönem Vergisiyle İlgili Varlıklar,35,56.976,77.416
94,Cari Dönem Vergisiyle İlgili Varlıklar,,,,
95,,Nakit Dışı Serbest Kullanılabilir Teminatlar,,,
96,Nakit Dışı Serbest Kullanılabilir Teminatlar,,,,
97,,Diğer Dönen Varlıklar,27,2.029.331,1.016.457
98,Diğer Dönen Varlıklar,,,,
99,,İlişkili Taraflardan Diğer Dönen Varlıklar,,,
100,İlişkili Taraflardan Diğer Dönen Varlıklar,,,,
101,,İlişkili Olmayan Taraflardan Diğer Dönen Varlıklar,,,
102,İlişkili Olmayan Taraflardan Diğer Dönen Varlıklar,,,,
103,,ARA TOPLAM,,73.609.988,36.086.743
104,ARA TOPLAM,,,,
105,,Satış Amaçlı Sınıflandırılan Duran Varlıklar,,,
106,Satış Amaçlı Sınıflandırılan Duran Varlıklar,,,,
107,,Ortaklara Dağıtılmak Üzere Elde Tutulan Duran Varlıklar,,,
108,Ortaklara Dağıtılmak Üzere Elde Tutulan Duran Varlıklar,,,,
109,,TOPLAM DÖNEN VARLIKLAR,,73.609.988,36.086.743
110,TOPLAM DÖNEN VARLIKLAR,,,,
111,,DURAN VARLIKLAR,,,
112,DURAN VARLIKLAR,,,,
113,,Finansal Yatırımlar,7,801.221,1.069.888
114,Finansal Yatırımlar,,,,
115,,Kullanımı Kısıtlı Banka Bakiyeleri,,,
116,Kullanımı Kısıtlı Banka Bakiyeleri,,,,
117,,Vadeli Mevduatlar,,,
118,Vadeli Mevduatlar,,,,
119,,Satılmaya Hazır Finansal Yatırımlar,,,
120,Satılmaya Hazır Finansal Yatırımlar,,,,
121,,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,,,
122,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,,,,
123,,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,,,
124,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,,,,
125,,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,,,
126,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,,,,
127,,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,,,
128,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,,,,
129,,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,,,
130,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,,,,
131,,Yatırım Riski Hayat Poliçesi Sahiplerine Ait Finansal Yatırımlar,,,
132,Yatırım Riski Hayat Poliçesi Sahiplerine Ait Finansal Yatırımlar,,,,
133,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklar,,,
134,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklar,,,,
135,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılarak Ölçülen Finansal Varlıklar,,,
136,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılarak Ölçülen Finansal Varlıklar,,,,
137,,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlar,,,
138,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlar,,,,
139,,İtfa Edilmiş Maliyetiyle Ölçülen Finansal Varlıklar,,,
140,İtfa Edilmiş Maliyetiyle Ölçülen Finansal Varlıklar,,,,
141,,Diğer Finansal Yatırımlar,,,
142,Diğer Finansal Yatırımlar,,,,
143,,"İştirakler, İş Ortaklıkları ve Bağlı Ortaklıklardaki Yatırımlar",,,
144,"İştirakler, İş Ortaklıkları ve Bağlı Ortaklıklardaki Yatırımlar",,,,
145,,Ticari Alacaklar,10,,26
146,Ticari Alacaklar,,,,
147,,İlişkili Taraflardan Ticari Alacaklar,,,
148,İlişkili Taraflardan Ticari Alacaklar,,,,
149,,İlişkili Olmayan Taraflardan Ticari Alacaklar,,,
150,İlişkili Olmayan Taraflardan Ticari Alacaklar,,,,
151,,Finans Sektörü Faaliyetlerinden Alacaklar,,,
152,Finans Sektörü Faaliyetlerinden Alacaklar,,,,
153,,Finans Sektörü Faaliyetlerinden İlişkili Taraflardan Alacaklar,,,
154,Finans Sektörü Faaliyetlerinden İlişkili Taraflardan Alacaklar,,,,
155,,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflardan Alacaklar,,,
156,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflardan Alacaklar,,,,
157,,Diğer Alacaklar,11,101.687,142.903
158,Diğer Alacaklar,,,,
159,,İlişkili Taraflardan Diğer Alacaklar,,,
160,İlişkili Taraflardan Diğer Alacaklar,,,,
161,,İlişkili Olmayan Taraflardan Diğer Alacaklar,,,
162,İlişkili Olmayan Taraflardan Diğer Alacaklar,,,,
163,,Müşteri Sözleşmelerinden Doğan Varlıklar,,,
164,Müşteri Sözleşmelerinden Doğan Varlıklar,,,,
165,,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıkları,,,
166,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıkları,,,,
167,,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,,,
168,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,,,,
169,,Diğer Sözleşme Varlıkları,,,
170,Diğer Sözleşme Varlıkları,,,,
171,,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,,,
172,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,,,,
173,,Türev Araçlar,12,1.185.630,647.328
174,Türev Araçlar,,,,
175,,Alım Satım Amaçlı Türev Araçlar,,,
176,Alım Satım Amaçlı Türev Araçlar,,,,
177,,Riskten Korunma Amaçlı Türev Araçlar,,,
178,Riskten Korunma Amaçlı Türev Araçlar,,,,
179,,Stoklar,,,
180,Stoklar,,,,
181,,Özkaynak Yöntemiyle Değerlenen Yatırımlar,16,1.891.365,1.652.925
182,Özkaynak Yöntemiyle Değerlenen Yatırımlar,,,,
183,,Canlı Varlıklar,,,
184,Canlı Varlıklar,,,,
185,,Yatırım Amaçlı Gayrimenkuller,17,5.151.242,1.468.823
186,Yatırım Amaçlı Gayrimenkuller,,,,
187,,Proje Halindeki Yatırım Amaçlı Gayrimenkuller,,,
188,Proje Halindeki Yatırım Amaçlı Gayrimenkuller,,,,
189,,Maddi Duran Varlıklar,18,54.565.655,33.132.654
190,Maddi Duran Varlıklar,,,,
191,,Arazi ve Arsalar,,,
192,Arazi ve Arsalar,,,,
193,,Yeraltı ve Yerüstü Düzenlemeleri,,,
194,Yeraltı ve Yerüstü Düzenlemeleri,,,,
195,,Binalar,,,
196,Binalar,,,,
197,,"Tesis, Makine ve Cihazlar",,,
198,"Tesis, Makine ve Cihazlar",,,,
199,,Taşıtlar,,,
200,Taşıtlar,,,,
201,,Mobilya ve Demirbaşlar,,,
202,Mobilya ve Demirbaşlar,,,,
203,,Özel Maliyetler,,,
204,Özel Maliyetler,,,,
205,,Taşıyıcı Bitkiler,,,
206,Taşıyıcı Bitkiler,,,,
207,,Özel Tükenmeye Tabi Varlıklar,,,
208,Özel Tükenmeye Tabi Varlıklar,,,,
209,,Yapılmakta Olan Yatırımlar,,,
210,Yapılmakta Olan Yatırımlar,,,,
211,,Faaliyet Kiralamasına Konu Varlıklar,,,
212,Faaliyet Kiralamasına Konu Varlıklar,,,,
213,,Diğer Maddi Duran Varlıklar,,,
214,Diğer Maddi Duran Varlıklar,,,,
215,,Kullanım Hakkı Varlıkları,19,996.641,466.086
216,Kullanım Hakkı Varlıkları,,,,
217,,Maddi Olmayan Duran Varlıklar,"20, 21",21.742.972,15.775.737
218,Maddi Olmayan Duran Varlıklar,,,,
