TARİH,Cari Oran,Likitide Oranı,Karşılama Oranı
2021-12-31,1.87974940663264,1.4577722203802708,1.8235141377636654
2021-12-31,1.87974940663264,1.4793044039018348,1.8235141377636654
2021-12-31,1.8802178540219037,1.45813550794848,1.8235141377636654
2021-12-31,1.8802178540219037,1.4796730574486794,1.8235141377636654
2021-12-31,1.8582172231110758,1.4362400368587067,1.8235141377636654
2021-12-31,1.8582172231110758,1.4577722203802708,1.8235141377636654
2021-12-31,1.8586803045217042,1.4365979584482806,1.8235141377636654
2021-12-31,1.8586803045217042,1.45813550794848,1.8235141377636654
2021-12-31,1.87974940663264,1.4577722203802708,1.8250386882108691
2021-12-31,1.87974940663264,1.4793044039018348,1.8250386882108691
2021-12-31,1.8802178540219037,1.45813550794848,1.8250386882108691
2021-12-31,1.8802178540219037,1.4796730574486794,1.8250386882108691
2021-12-31,1.8582172231110758,1.4362400368587067,1.8250386882108691
2021-12-31,1.8582172231110758,1.4577722203802708,1.8250386882108691
2021-12-31,1.8586803045217042,1.4365979584482806,1.8250386882108691
2021-12-31,1.8586803045217042,1.45813550794848,1.8250386882108691
2022-09-30,1.7862880069315787,1.3435362100363624,2.063808802353292
2022-12-31,2.072128376832976,1.530188319933183,1.750976496741216
2023-03-31,1.8567882634221773,1.2930904993133705,2.0971274591501965
2023-06-30,1.9755261952677823,1.3751412026967904,2.1039139496451895
