,LEVEL1,LEVEL2,LEVEL3,TARİH,DEĞER
0,,,Finansal Durum Tablosu (Bilanço),30.06.2023,
1,VARLIKLAR,,Varlıklar,30.06.2023,
2,VARLIKLAR,DÖNEN VARLIKLAR,DÖNEN VARLIKLAR,30.06.2023,
3,VARLIKLAR,DÖNEN VARLIKLAR,Nakit ve Nakit Benzerleri,30.06.2023,16.462.202
4,VARLIKLAR,DÖNEN VARLIKLAR,Gayrimenkul Projeleri Kapsamında Açılan Nakit Hesapları,30.06.2023,
5,VARLIKLAR,DÖNEN VARLIKLAR,Finansal Yatırımlar,30.06.2023,
6,VARLIKLAR,DÖNEN VARLIKLAR,Kullanımı Kısıtlı Banka Bakiyeleri,30.06.2023,
7,VARLIKLAR,DÖNEN VARLIKLAR,Vadeli Mevduatlar,30.06.2023,
8,VARLIKLAR,DÖNEN VARLIKLAR,Satılmaya Hazır Finansal Varlıklar,30.06.2023,
9,VARLIKLAR,DÖNEN VARLIKLAR,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,30.06.2023,
10,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,30.06.2023,
11,VARLIKLAR,DÖNEN VARLIKLAR,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,30.06.2023,
12,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,30.06.2023,
13,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,30.06.2023,
14,VARLIKLAR,DÖNEN VARLIKLAR,Yatırım Riski Hayat Poliçesi Sahiplerine Ait Finansal Yatırımlar,30.06.2023,
15,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklar,30.06.2023,
16,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılarak Ölçülen Finansal Varlıklar,30.06.2023,
17,VARLIKLAR,DÖNEN VARLIKLAR,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlar,30.06.2023,
18,VARLIKLAR,DÖNEN VARLIKLAR,İtfa Edilmiş Maliyetiyle Ölçülen Finansal Varlıklar,30.06.2023,
19,VARLIKLAR,DÖNEN VARLIKLAR,Diğer Finansal Yatırımlar,30.06.2023,
20,VARLIKLAR,DÖNEN VARLIKLAR,Teminata Verilen Finansal Varlıklar,30.06.2023,
21,VARLIKLAR,DÖNEN VARLIKLAR,Ticari Alacaklar,30.06.2023,14.865.998
22,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Taraflardan Ticari Alacaklar,30.06.2023,8.771.512
23,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Olmayan Taraflardan Ticari Alacaklar,30.06.2023,6.094.486
24,VARLIKLAR,DÖNEN VARLIKLAR,Finans Sektörü Faaliyetlerinden Alacaklar,30.06.2023,3.622.724
25,VARLIKLAR,DÖNEN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Taraflardan Alacaklar,30.06.2023,
